Plot Title: rgaws_as,Z2802,GMT+8,,,,,
#,"Date Time, GMT+08:00",Event,,,,,
1,07/20/16 下午04时33分49秒,0,,,,,
2,07/20/16 下午04时34分08秒,1,,,,,
3,07/20/16 下午04时34分09秒,2,,,,,
4,07/20/16 下午04时34分10秒,3,,,,,
5,07/20/16 下午04时34分11秒,4,,,,,
6,07/20/16 下午04时34分29秒,-999,,,,,
7,07/20/16 下午04时48分49秒,-999,,,,,
8,07/20/16 下午05时03分49秒,-999,,,,,
9,07/20/16 下午05时18分49秒,-999,,,,,
10,07/20/16 下午05时33分49秒,-999,,,,,
11,07/20/16 下午05时48分49秒,-999,,,,,
12,07/20/16 下午06时03分49秒,-999,,,,,
13,07/20/16 下午06时18分49秒,-999,,,,,
14,07/20/16 下午06时33分49秒,-999,,,,,
15,07/20/16 下午06时48分49秒,-999,,,,,
16,07/20/16 下午07时03分49秒,-999,,,,,
17,07/20/16 下午07时18分49秒,-999,,,,,
18,07/20/16 下午07时33分49秒,-999,,,,,
19,07/20/16 下午07时48分49秒,-999,,,,,
20,07/20/16 下午08时03分49秒,-999,,,,,
21,07/20/16 下午08时18分49秒,-999,,,,,
22,07/20/16 下午08时33分49秒,-999,,,,,
23,07/20/16 下午08时48分49秒,-999,,,,,
24,07/20/16 下午09时03分49秒,-999,,,,,
25,07/20/16 下午09时18分49秒,-999,,,,,
26,07/20/16 下午09时33分49秒,-999,,,,,
27,07/20/16 下午09时48分49秒,-999,,,,,
28,07/20/16 下午10时03分49秒,-999,,,,,
29,07/20/16 下午10时18分49秒,-999,,,,,
30,07/20/16 下午10时33分49秒,-999,,,,,
31,07/20/16 下午10时48分49秒,-999,,,,,
32,07/20/16 下午11时03分49秒,-999,,,,,
33,07/20/16 下午11时18分49秒,-999,,,,,
34,07/20/16 下午11时33分49秒,-999,,,,,
35,07/20/16 下午11时48分49秒,-999,,,,,
36,07/21/16 上午12时03分49秒,-999,,,,,
37,07/21/16 上午12时18分49秒,-999,,,,,
38,07/21/16 上午12时33分49秒,-999,,,,,
39,07/21/16 上午12时48分49秒,-999,,,,,
40,07/21/16 上午01时03分49秒,-999,,,,,
41,07/21/16 上午01时18分49秒,-999,,,,,
42,07/21/16 上午01时33分49秒,-999,,,,,
43,07/21/16 上午01时48分49秒,-999,,,,,
44,07/21/16 上午02时03分49秒,-999,,,,,
45,07/21/16 上午02时18分49秒,-999,,,,,
46,07/21/16 上午02时33分49秒,-999,,,,,
47,07/21/16 上午02时48分49秒,-999,,,,,
48,07/21/16 上午03时03分49秒,-999,,,,,
49,07/21/16 上午03时18分49秒,-999,,,,,
50,07/21/16 上午03时33分49秒,-999,,,,,
51,07/21/16 上午03时48分49秒,-999,,,,,
52,07/21/16 上午04时03分49秒,-999,,,,,
53,07/21/16 上午04时04分09秒,5,,,,,
54,07/21/16 上午04时18分49秒,-999,,,,,
55,07/21/16 上午04时33分49秒,-999,,,,,
56,07/21/16 上午04时48分49秒,-999,,,,,
57,07/21/16 上午05时03分49秒,-999,,,,,
58,07/21/16 上午05时18分49秒,-999,,,,,
59,07/21/16 上午05时33分49秒,-999,,,,,
60,07/21/16 上午05时48分49秒,-999,,,,,
61,07/21/16 上午06时03分49秒,-999,,,,,
62,07/21/16 上午06时18分49秒,-999,,,,,
63,07/21/16 上午06时33分49秒,-999,,,,,
64,07/21/16 上午06时48分49秒,-999,,,,,
65,07/21/16 上午07时03分49秒,-999,,,,,
66,07/21/16 上午07时18分49秒,-999,,,,,
67,07/21/16 上午07时33分49秒,-999,,,,,
68,07/21/16 上午07时48分49秒,-999,,,,,
69,07/21/16 上午08时03分49秒,-999,,,,,
70,07/21/16 上午08时18分49秒,-999,,,,,
71,07/21/16 上午08时33分49秒,-999,,,,,
72,07/21/16 上午08时48分49秒,-999,,,,,
73,07/21/16 上午09时03分49秒,-999,,,,,
74,07/21/16 上午09时18分49秒,-999,,,,,
75,07/21/16 上午09时33分49秒,-999,,,,,
76,07/21/16 上午09时48分49秒,-999,,,,,
77,07/21/16 上午10时03分49秒,-999,,,,,
78,07/21/16 上午10时18分49秒,-999,,,,,
79,07/21/16 上午10时33分49秒,-999,,,,,
80,07/21/16 上午10时48分49秒,-999,,,,,
81,07/21/16 上午11时03分49秒,-999,,,,,
82,07/21/16 上午11时18分49秒,-999,,,,,
83,07/21/16 上午11时33分49秒,-999,,,,,
84,07/21/16 上午11时48分49秒,-999,,,,,
85,07/21/16 下午12时03分49秒,-999,,,,,
86,07/21/16 下午12时18分49秒,-999,,,,,
87,07/21/16 下午12时29分00秒,6,,,,,
88,07/21/16 下午12时33分49秒,-999,,,,,
89,07/21/16 下午12时48分49秒,-999,,,,,
90,07/21/16 下午12时49分06秒,7,,,,,
91,07/21/16 下午01时03分49秒,-999,,,,,
92,07/21/16 下午01时18分49秒,-999,,,,,
93,07/21/16 下午01时33分49秒,-999,,,,,
94,07/21/16 下午01时48分49秒,-999,,,,,
95,07/21/16 下午02时03分49秒,-999,,,,,
96,07/21/16 下午02时18分49秒,-999,,,,,
97,07/21/16 下午02时33分49秒,-999,,,,,
98,07/21/16 下午02时48分49秒,-999,,,,,
99,07/21/16 下午03时03分49秒,-999,,,,,
